ID,FIPS,State,County,groceryStores,supercenters,convenienceStores,lowAccess,nocarAccess,fastFood
1,1001,AL,Autauga,0.072053896,0.018013474,0.612458119,33.7696573,3.284785556,0.612458119
2,1003,AL,Baldwin,0.136275486,0.031448189,0.566067404,19.3184726,2.14782716,0.681377431
3,1005,AL,Barbour,0.183816771,0.036763354,0.698503731,20.84097171,4.135869371,0.77203044
4,1007,AL,Bibb,0.22126831,0.044253662,0.752312254,4.559752683,3.458580095,0.265521972
5,1009,AL,Blount,0.138346073,0.017293259,0.484211254,2.700840095,3.269379844,0.3804517
6,1011,AL,Bullock,0.190949017,0,0.286423525,37.47465226,7.285560969,0.381898033
7,1013,AL,Butler,0.147732309,0.049244103,0.886393854,6.243470213,4.652357458,0.886393854
8,1015,AL,Calhoun,0.221661438,0.02557632,0.707611513,26.06108574,2.64551813,0.784340472
9,1017,AL,Chambers,0.234852043,0.029356505,0.76326914,19.72296719,4.426159574,0.76326914
10,1019,AL,Cherokee,0.153721994,0.038430498,0.73017947,0.305553252,3.564252393,0.768609969
11,1021,AL,Chilton,0.159748054,0.022821151,0.844382574,3.337712557,3.018511284,0.456423013
12,1023,AL,Choctaw,0.22005428,0,1.173622827,18.84879045,6.489997865,0.513459987
13,1025,AL,Clarke,0.198720242,0.079488097,0.596160725,19.58990819,7.274899392,0.914113112
14,1027,AL,Clay,0.223297358,0,0.372162263,5.331407536,3.286965297,0.29772981
15,1029,AL,Cleburne,0.202265372,0,0.606796117,0.980921025,3.544518261,0.539374326
16,1031,AL,Coffee,0.117068602,0.019511434,0.546320144,22.81436775,4.454188548,0.624365878
17,1033,AL,Colbert,0.183668222,0.018366822,0.863240642,17.49017262,2.338258172,0.899974286
18,1035,AL,Conecuh,0.231107003,0,1.155535013,28.16587217,6.621534203,0.231107003
19,1037,AL,Coosa,0.091190954,0,0.911909539,24.58828961,3.52836185,0.091190954
20,1039,AL,Covington,0.210775919,0.02634699,0.948491635,8.828653377,4.269161412,0.658674746
21,1041,AL,Crenshaw,0.355037989,0,0.497053185,38.71628362,6.594574761,0.355037989
22,1043,AL,Cullman,0.161611139,0.012431626,0.621581303,7.829499986,3.092267498,0.758329189
23,1045,AL,Dale,0.198239632,0.019823963,0.634366823,27.55559062,2.685978646,0.594718896
24,1047,AL,Dallas,0.186636805,0.023329601,0.79320642,17.7672232,6.252084196,0.466592012
25,1049,AL,DeKalb,0.196961171,0.014068655,0.604952167,3.768654688,4.135196616,0.576814856
26,1051,AL,Elmore,0.124024855,0.024804971,0.632526758,18.9293027,3.105429416,0.434086991
27,1053,AL,Escambia,0.131599726,0.026319945,0.789598358,13.54081837,3.941202319,0.657998631
28,1055,AL,Etowah,0.143689172,0.019158556,0.622653077,23.72804055,2.769081179,0.747183692
29,1057,AL,Fayette,0.353294471,0.058882412,0.412176883,2.537624813,3.49312948,0.706588942
